City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
990,Samarai,PG,80.89,light rain,-10.62,150.67,Nuli Sapi
994,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
995,Katherine,AU,78.8,clear sky,-14.47,132.27,Pine Tree Motel
998,Grand Gaube,MU,72.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
999,Cabedelo,BR,84.2,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
1002,Maragogi,BR,80.22,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
1004,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
1005,Marau,BR,86.34,clear sky,-28.45,-52.2,Hotel Pousada Tordilho Negro
1007,Fare,PF,79.74,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
1008,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
1009,Bentiu,SS,78.84,clear sky,9.23,29.83,Mandela hôtel
1010,Kokoda,PG,73.13,light rain,-8.88,147.74,Daito Guest House
1011,Viedma,AR,75.99,clear sky,-40.81,-63.0,Hotel Cristal
1014,Chinsali,ZM,75.97,clear sky,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
1024,Kisante,PH,75.2,scattered clouds,6.92,125.16,Le Reve Resort
1028,Bengkulu,ID,76.66,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
1032,Boffa,GN,80.82,light rain,10.17,-14.03,Hôtel Niara Belly
1034,Ambilobe,MG,75.92,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
1038,Namwala,ZM,86.92,overcast clouds,-15.75,26.44,Corner Point Lodge
1040,Nago,JP,75.2,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
1041,San Luis,AR,85.53,broken clouds,-33.3,-66.34,Huarpes Hotel
1043,Pangai,TO,75.2,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
1044,San Policarpo,PH,75.79,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
1047,Srandakan,ID,77.38,scattered clouds,-7.94,110.25,Puri Brata
1048,Praya,CV,86.0,clear sky,14.92,-23.51,LT Aparthotel
1052,Buala,SB,79.65,clear sky,-8.14,159.59,Maringe Lagoon Lodge
1054,Payo,ID,72.75,overcast clouds,-3.75,103.64,Mess keban agung
1057,Sola,VU,82.4,overcast clouds,-13.88,167.55,Ulkel Guest House
1059,Sur,OM,75.63,clear sky,22.57,59.53,Sur Plaza Hotel
1063,Rincon,US,80.6,broken clouds,32.3,-81.24,Bent tree subdivision
1068,Belford Roxo,BR,77.0,broken clouds,-22.76,-43.4,Red Roof Inn Dutra Airport
1070,Touros,BR,87.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
1073,Weymouth,US,75.2,overcast clouds,42.22,-70.94,"Boston Motel Weymouth/Boston, MA"
1074,Port Blair,IN,81.21,clear sky,11.67,92.75,Fortune Resort Bay Island
1076,Doha,QA,84.0,clear sky,25.29,51.53,Doha Marriott Hotel
1077,Cleburne,US,75.99,clear sky,32.35,-97.39,Holiday Inn Express & Suites Cleburne
1078,San Pedro,PH,75.2,very heavy rain,14.35,121.02,OYO 412 Viewfort Venue
1079,Bandarbeyla,SO,76.75,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
1081,Neuquen,AR,84.2,clear sky,-38.95,-68.06,Hotel del Comahue
